Coach,genre,percentage
Kong,0,46.29
Kong,1,47.37
Kong,2,57.5
Kong,3,40
Kong,4,43.75
Kong,5,48.28
Kong,6,38.46
Kim,0,36.11
Kim,1,33.04
Kim,2,23.08
Kim,3,44.44
Kim,4,44.44
Kim,5,25
Kim,6,40
Joey,0,40.74
Joey,1,33.53
Joey,2,28.21
Joey,3,45
Joey,4,52.08
Joey,5,41.38
Joey,6,30.77
Stamp,0,40.91
Stamp,1,38.75
Stamp,2,47.06
Stamp,3,66.67
Stamp,4,39.02
Stamp,5,59.9
Stamp,6,33.33
Singto,0,37.5
Singto,1,39.56
Singto,2,56.52
Singto,3,35.71
Singto,4,14.29
Singto,5,42.86
Singto,6,35.71
Da,0,22.22
Da,1,44.64
Da,2,31.58
Da,3,45.45
Da,4,66.67
Da,5,20
Da,6,45.45
